mut prob= 0,6
pop size= 50
tournament= 7

---Time reading file and creating Cities: 5.123275279998779 seconds ---

Calculating distances...
---Time Calculating distances: 0.05874156951904297 seconds ---

Searching for shortest way possible...
Calculating GA_loop
Creates the population:
Finished Creation of the population
Generation: 241, elapsed_time: 49.0 s, best route: 39260.71
Generation: 242, elapsed_time: 49.3 s, best route: 38995.39
Generation: 243, elapsed_time: 49.6 s, best route: 38743.55
Generation: 244, elapsed_time: 49.9 s, best route: 38587.84
Generation: 245, elapsed_time: 50.1 s, best route: 38481.62
Generation: 246, elapsed_time: 50.4 s, best route: 38306.32
Generation: 247, elapsed_time: 50.6 s, best route: 38105.11
Generation: 248, elapsed_time: 50.8 s, best route: 38105.11
Generation: 249, elapsed_time: 51.0 s, best route: 38105.11
Generation: 250, elapsed_time: 51.2 s, best route: 37951.50
Generation: 251, elapsed_time: 51.5 s, best route: 37951.50
Generation: 252, elapsed_time: 51.7 s, best route: 37951.50
Generation: 253, elapsed_time: 51.9 s, best route: 37895.06
Generation: 254, elapsed_time: 52.1 s, best route: 37895.06
Generation: 255, elapsed_time: 52.3 s, best route: 37895.06
Generation: 256, elapsed_time: 52.6 s, best route: 37832.37
Generation: 257, elapsed_time: 52.8 s, best route: 37832.37
Generation: 258, elapsed_time: 53.0 s, best route: 37769.87
Generation: 259, elapsed_time: 53.2 s, best route: 37769.87
Generation: 260, elapsed_time: 53.4 s, best route: 37769.87
Generation: 261, elapsed_time: 53.6 s, best route: 37743.43
Generation: 262, elapsed_time: 53.8 s, best route: 37743.43
Generation: 263, elapsed_time: 54.0 s, best route: 37743.43
Generation: 264, elapsed_time: 54.3 s, best route: 37666.32
Generation: 265, elapsed_time: 54.5 s, best route: 37664.76
Generation: 266, elapsed_time: 54.8 s, best route: 37590.01
Generation: 267, elapsed_time: 55.1 s, best route: 37587.65
Generation: 268, elapsed_time: 55.4 s, best route: 37396.93
Generation: 269, elapsed_time: 55.6 s, best route: 37396.93
Generation: 270, elapsed_time: 55.8 s, best route: 37396.93
Generation: 271, elapsed_time: 56.0 s, best route: 37396.93
Generation: 272, elapsed_time: 56.2 s, best route: 37396.93
Generation: 273, elapsed_time: 56.4 s, best route: 37396.93
Generation: 274, elapsed_time: 56.6 s, best route: 37396.93
Generation: 275, elapsed_time: 56.8 s, best route: 37396.93
Generation: 276, elapsed_time: 57.0 s, best route: 37396.93
Generation: 277, elapsed_time: 57.2 s, best route: 37396.93
Generation: 278, elapsed_time: 57.4 s, best route: 37396.93
Generation: 279, elapsed_time: 57.7 s, best route: 37383.78
Generation: 280, elapsed_time: 57.9 s, best route: 37383.78
Generation: 281, elapsed_time: 58.1 s, best route: 37383.78
Generation: 282, elapsed_time: 58.4 s, best route: 37224.38
Generation: 283, elapsed_time: 58.6 s, best route: 37224.38
Generation: 284, elapsed_time: 58.9 s, best route: 37222.53
Generation: 285, elapsed_time: 59.2 s, best route: 37143.06
Generation: 286, elapsed_time: 59.4 s, best route: 37143.06
Generation: 287, elapsed_time: 59.7 s, best route: 37120.32
Generation: 288, elapsed_time: 59.9 s, best route: 37090.83
Generation: 289, elapsed_time: 60.2 s, best route: 37072.62
Generation: 290, elapsed_time: 60.4 s, best route: 37072.62
Generation: 291, elapsed_time: 60.7 s, best route: 36915.97
Generation: 292, elapsed_time: 60.9 s, best route: 36915.97
Generation: 293, elapsed_time: 61.2 s, best route: 36879.81
Generation: 294, elapsed_time: 61.4 s, best route: 36845.94
Generation: 295, elapsed_time: 61.6 s, best route: 36845.94
Generation: 296, elapsed_time: 61.9 s, best route: 36682.78
Generation: 297, elapsed_time: 62.1 s, best route: 36682.78
Generation: 298, elapsed_time: 62.4 s, best route: 36641.29
Generation: 299, elapsed_time: 62.7 s, best route: 36599.91
Generation: 300, elapsed_time: 62.9 s, best route: 36599.91
Generation: 301, elapsed_time: 63.2 s, best route: 36530.57
Generation: 302, elapsed_time: 63.3 s, best route: 36530.57
Generation: 303, elapsed_time: 63.6 s, best route: 36530.57
Generation: 304, elapsed_time: 63.9 s, best route: 36399.51
Generation: 305, elapsed_time: 64.1 s, best route: 36397.38
Generation: 306, elapsed_time: 64.3 s, best route: 36397.38
Generation: 307, elapsed_time: 64.5 s, best route: 36397.38
Generation: 308, elapsed_time: 64.7 s, best route: 36397.38
Generation: 309, elapsed_time: 65.0 s, best route: 36281.10
Generation: 310, elapsed_time: 65.2 s, best route: 36281.10
Generation: 311, elapsed_time: 65.4 s, best route: 36281.10
Generation: 312, elapsed_time: 65.6 s, best route: 36281.10
Generation: 313, elapsed_time: 65.8 s, best route: 36278.57
Generation: 314, elapsed_time: 66.1 s, best route: 36221.00
Generation: 315, elapsed_time: 66.3 s, best route: 36183.98
Generation: 316, elapsed_time: 66.6 s, best route: 36183.98
Generation: 317, elapsed_time: 66.8 s, best route: 36183.98
Generation: 318, elapsed_time: 67.0 s, best route: 36183.98
Generation: 319, elapsed_time: 67.2 s, best route: 36183.98
Generation: 320, elapsed_time: 67.5 s, best route: 36183.98
Generation: 321, elapsed_time: 67.7 s, best route: 36183.98
Generation: 322, elapsed_time: 68.0 s, best route: 36127.94
Generation: 323, elapsed_time: 68.3 s, best route: 35931.48
Generation: 324, elapsed_time: 68.5 s, best route: 35931.48
Generation: 325, elapsed_time: 68.7 s, best route: 35931.48
Generation: 326, elapsed_time: 69.1 s, best route: 35929.07
Generation: 327, elapsed_time: 69.4 s, best route: 35736.99
Generation: 328, elapsed_time: 69.6 s, best route: 35736.99
Generation: 329, elapsed_time: 69.9 s, best route: 35657.58
Generation: 330, elapsed_time: 70.1 s, best route: 35657.58
Generation: 331, elapsed_time: 70.4 s, best route: 35657.58
Generation: 332, elapsed_time: 70.8 s, best route: 35451.91
Generation: 333, elapsed_time: 70.9 s, best route: 35451.91
Generation: 334, elapsed_time: 71.1 s, best route: 35451.91
Generation: 335, elapsed_time: 71.3 s, best route: 35451.91
Generation: 336, elapsed_time: 71.5 s, best route: 35451.91
Generation: 337, elapsed_time: 71.6 s, best route: 35451.91
Generation: 338, elapsed_time: 71.9 s, best route: 35353.69
Generation: 339, elapsed_time: 72.1 s, best route: 35353.69
Generation: 340, elapsed_time: 72.2 s, best route: 35353.69
Generation: 341, elapsed_time: 72.4 s, best route: 35353.69
Generation: 342, elapsed_time: 72.7 s, best route: 35333.52
Generation: 343, elapsed_time: 72.9 s, best route: 35333.52
Generation: 344, elapsed_time: 73.1 s, best route: 35333.52
Generation: 345, elapsed_time: 73.3 s, best route: 35333.52
